# photometric and parallax of HARPS spectra
# P Jofre, cambridge, Fri Feb  6 23:33:57 2015
Star ra  dec  plx  e_plx  hpmag  s_hpmag b-v  e_b-v  v-i vmag sourceVmag  J2mass  eJ2mass  H2mass  eH2mass  K2mass  eK2mass qual2mass n(in1arcmin) 
 HIP103682     315.1408756804      -4.7299241108     36.73     0.58    6.3397   0.007    0.635   0.008    0.660    6.210   H    5.154   0.034    4.860   0.016    4.771   0.018   AEA   02
 HIP103738     315.3227481671     -32.2577660341     14.24     0.26    4.8136   0.011    0.890   0.003    0.900    4.670   G    3.127   0.260    2.653   0.208    2.541   0.228   DCD   01
 HIP103983     316.0238914411       3.9810568170     15.21     0.92    8.5319   0.013    0.650   0.015    0.750    8.390   H    7.199   0.024    6.859   0.027    6.834   0.026   AAA   01
 HIP104071     316.2706032679     -32.8261527504     17.70     0.76    7.8394   0.010    0.606   0.015    0.680    7.720   G    6.661   0.027    6.412   0.069    6.315   0.018   AAA   02
 HIP104174     316.6028291921     -32.3416375075      9.94     0.24    5.3628   0.005    1.104   0.004    1.070    5.200   H    3.449   0.258    2.836   0.202    2.747   0.266   DCD   01
 HIP104459     317.3982948269     -11.3716544572     20.47     0.21    4.6675   0.005    0.926   0.039    0.920    4.500   G    2.940   0.268    2.421   0.172    2.334   0.246   DCD   02
 HIP104521     317.5852876826      10.1319484033     27.55     0.62    4.7812   0.005    0.262   0.005    0.260    4.700   G    4.277   0.254    4.105   0.186    4.009   0.260   DCD   02
 HIP104549     317.6691978192     -23.3112808493     19.04     0.90    8.1769   0.012    0.606   0.015    0.680    8.050   G    6.946   0.019    6.689   0.044    6.623   0.023   AAA   01
 HIP104903     318.7407958834     -20.7889176090     22.06     0.82    8.2218   0.013    0.714   0.012    0.770    8.080   H    6.850   0.026    6.567   0.016    6.485   0.023   AAA   01
 HIP105066     319.2584851870      -1.0773688091     22.62     1.23    8.2163   0.018    0.737   0.015    0.780    8.080   H    6.830   0.020    6.520   0.046    6.430   0.018   AAA   02
 HIP105184     319.6128061164     -43.3347012370     40.95     0.46    6.8776   0.008    0.637   0.001    0.690    6.750   G    5.627   0.020    5.325   0.031    5.260   0.024   AAA   01
 HIP105319     319.9661738619     -53.4492625088     33.02     0.49    4.4458   0.005    0.191   0.004    0.210    4.390   G    3.426   0.434    4.224   0.076    4.145   0.026   DEA   02
 HIP105483     320.4731191929      -4.1739913709     25.64     0.84    8.1746   0.012    0.762   0.002    0.810    8.030   G    6.744   0.018    6.428   0.034    6.325   0.018   AAA   01
